rows,columns,msr,row_coverage,column_coverage
25,16,216.4957,"[   9   11   85   87   91   92   93   94   98  100  155  159  161 1574
 1578 2477 2494 2497 2528 2530 2532 2848 2852 2853 2881]",[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
73,16,199.7982296162507,"[  17   24   27  106  109  112  139  140  141  176  195  251  252  266
  269  270  271  294  340  342  474 1300 1384 1386 1498 1506 1523 1524
 1527 1540 1547 1598 1607 1651 1823 1839 1842 1843 1847 1859 1861 1997
 2017 2035 2053 2054 2174 2178 2198 2203 2238 2280 2283 2461 2484 2513
 2541 2544 2547 2548 2565 2694 2695 2700 2701 2746 2748 2757 2779 2808
 2810 2856 2859]",[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
18,16,232.4490620177469,"[  62   63   67  143  321  346 1530 1553 1554 1559 1624 1679 2463 2517
 2702 2710 2768 2787]",[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
13,16,309.21699334319527,[ 166  696 1509 1826 1999 2067 2151 2154 2155 2549 2791 2867 2871],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
7,16,199.97082270408163,[ 199  481  697 1667 1889 1977 2180],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
6,16,237.2811414930556,[ 254 1828 2566 2735 2769 2811],[ 0  1  2  3  4  5  6  8  9 10 11 12 13 14 15 16]
6,16,242.56586371527783,[ 114  204 1608 1655 2156 2350],[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16]
22,16,555.9929219395661,"[  70   74  117  144  360 1216 1399 1400 1402 1403 1579 1630 1681 1849
 2018 2055 2057 2157 2209 2225 2351 2499]",[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,34.1552734375,[2043 2883],[ 0  1  2  3  4  5  6  7  8  9 11 12 13 14 15 16]
3,16,151.9175347222222,[2181 2182 2384],[ 0  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,60.74609375,[177 347],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
5,16,370.0840625,[1582 1583 1584 1610 2464],[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16]
8,16,535.0341796875,[ 295  818 1631 1633 2000 2158 2465 2568],[ 0  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
3,16,169.61892361111111,[1406 2352 2466],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
6,16,564.9274088541666,[ 518 1585 1611 2226 2619 2812],[ 0  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,98.671875,[1829 2550],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
3,16,301.65190972222223,[1890 2183 2284],[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16]
4,16,473.448486328125,[  75 1407 1562 2501],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
3,16,351.7022569444444,[ 178  375 1668],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,665.630859375,[1586 1862 2239 2620],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,297.6875,[ 819 2106],[ 0  1  2  3  4  5  7  8  9 10 11 12 13 14 15 16]
11,16,1370.943569214876,[ 272  348  384 1588 1669 2019 2159 2385 2467 2502 2736],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,427.786376953125,[ 385 1531 2107 2823],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
3,16,607.5703125,[2160 2313 2503],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,129.3125,[1217 2228],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,599.403564453125,[ 273  698 2184 2418],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,100.3818359375,[ 205 2161],[ 0  1  2  3  4  5  6  8  9 10 11 12 13 14 15 16]
3,16,330.82986111111086,[118 179 322],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
3,16,1057.8203125,[1227 1301 1656],[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16]
2,16,773.68359375,[ 180 2518],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,668.2255859375,[1430 2792],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
