rows,columns,msr,row_coverage,column_coverage
7,3,121.31972789115648,[2725 2768 3051 3500 4720 5018 5237],[ 4 12 13]
9,4,100.61111111111111,[2744 2745 3487 3488 3489 3490 4496 4616 5215],[ 6  7 10 11]
14,3,180.7925170068028,[2164 2726 2727 2745 3040 3342 3460 3490 4471 4585 4586 5173 5215 5216],[ 3 12 14]
8,2,51.87109375,[3293 3320 3490 4585 4616 4974 5173 5216],[8 9]
7,3,67.5873015873016,[3280 3281 3293 3320 3490 4447 5216],[ 5 13 16]
8,3,93.92708333333331,[2427 2927 3293 3294 3295 3320 4447 4974],[ 1  6 15]
5,2,26.44,[2907 2908 3040 3051 3242],[7 8]
4,3,35.44444444444439,[2907 2908 3051 3242],[10 11 12]
3,3,52.74074074074073,[3051 4577 5530],[1 3 6]
5,2,35.739999999999995,[2908 3229 3242 4616 5018],[14 16]
5,2,16.66,[2164 2745 3242 4577 5530],[4 5]
5,2,4.14,[3342 3460 3461 3462 3463],[6 7]
7,4,196.2984693877552,[2398 3441 3443 3444 4563 4564 5486],[ 1 13 14 16]
9,3,219.9561042524006,[ 193 2361 2398 3422 3443 3444 4539 5100 5486],[ 3  6 11]
8,4,132.8125,[3412 3422 4539 5450 5451 5452 5453 5454],[ 8 12 13 14]
9,2,55.333333333333336,[3401 3422 4516 4517 4539 4720 5433 5453 5454],[15 16]
9,3,231.042524005487,[3423 3424 3463 4497 4498 5433 5434 5436 5454],[ 2  3 10]
5,3,60.035555555555554,[4472 4498 5237 5436 5592],[ 7 11 15]
5,2,70.34,[3400 4498 4499 5403 5592],[12 14]
3,3,45.45679012345686,[4499 5403 5487],[ 5 11 15]
6,5,129.7866666666667,[  45 1606 2164 3161 3400 5530],[ 8 10 11 13 16]
7,2,75.4795918367347,[  45 2120 2121 3131 3132 3133 5402],[5 6]
7,3,90.06349206349206,[1578 2095 2096 2097 2099 3133 5402],[ 9 12 15]
11,2,207.55785123966945,[1471 2072 2073 2121 2164 3111 3161 4499 4539 4564 4577],[7 8]
7,3,181.2517006802721,[1471 2072 2073 3051 3079 3500 5530],[ 0 12 14]
7,2,55.3469387755102,[1438 1439 1960 2064 2072 2908 3079],[ 3 15]
5,3,102.32888888888893,[1411 1438 1960 2054 3079],[ 5 13 16]
6,4,101.08854166666669,[1384 1411 1438 1951 1960 2054],[ 1  9 10 11]
5,2,51.46,[ 500 2022 2427 3210 5345],[ 6 14]
7,4,96.65306122448978,[1158 2022 2073 2377 2908 3111 5345],[1 2 4 5]
6,5,75.20444444444442,[1158 2768 5333 5334 5337 5345],[ 3 10 13 14 15]
6,2,73.03472222222221,[1471 2074 2165 3210 4564 5018],[ 2 15]
4,2,29.796875,[2074 2165 2377 3401],[10 14]
