rows,columns,msr,row_coverage,column_coverage
rows,columns,msr,row_coverage,column_coverage
6,16,16986.73220486111,[ 559 1741 1761 4517 4907 5121],[ 0  1  2  3  4  5  6  7  8  9 11 12 13 14 15 16]
2,16,7753.0068359375,[3242 3402],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15]
4,16,19719.397705078125,[ 644 1741 3402 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14 15 16]
2,16,859.40625,[1810 3403],[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16]
3,16,9042.328993055557,[2047 2278 5134],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
5,16,19603.4221875,[ 644 3412 3517 5158 5238],[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16]
2,16,18842.2099609375,[5238 5369],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,24145.673828125,[3500 4248 4517 4565],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
4,16,22560.790283203125,[3517 3581 4191 4379],[ 0  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,1531.27734375,[4518 4806],[ 0  1  2  3  4  5  7  8  9 10 11 12 13 14 15 16]
3,16,27030.764539930555,[   0 4447 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
2,16,1843.8037109375,[4518 4519],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
5,16,23979.4959375,[ 867 4233 4577 4616 4806],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
2,16,1146.4365234375,[745 815],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,8407.8662109375,[815 829],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
5,16,27352.3565625,[ 115  459  829  867 3581],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
2,16,17547.27734375,[1439 3581],[ 0  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16]
6,16,19383.195638020832,[1439 2278 2327 3500 3581 4806],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
2,16,5089.546875,[4815 4847],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
7,16,27301.180006377548,[4233 4577 4632 4750 4847 5238 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
2,16,10324.05859375,[2987 4234],[ 0  1  2  3  4  5  6  8  9 10 11 12 13 14 15 16]
8,16,24904.34908621652,[   0  115 3581 4234 4577 5238 5592 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
4,16,35570.193359375,[1439 2242 4205 4248],[ 0  1  2  3  4  5  6  7  8  9 11 12 13 14 15 16]
2,16,20804.77734375,[4391 4577],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
4,16,26760.74609375,[   0  867 1439 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16]
6,16,28638.04468315973,[   0   27 2226 3581 5238 5767],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
4,16,240.870361328125,[  30 2702 5007 5248],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,395.591064453125,[1472 1562 3112 3243],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,125.87109375,[2988 3230],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
5,16,614.8412500000001,[ 433 2204 3002 3052 3582],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
7,16,1391.5424107142858,[  31  116  377 2048 3601 5437 5593],[ 0  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16]
3,16,899.5868055555555,[ 341 2166 3020],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,987.65234375,[ 130 2227],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,1038.875,[2476 5708],[ 0  1  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,2110.52734375,[2362 5695],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,1869.5693359375,[ 253 5674],[ 0  1  2  3  4  5  7  8  9 10 11 12 13 14 15 16]
2,16,282.52734375,[2875 3053],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
2,16,1295.93359375,[1961 2844],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14 15 16]
2,16,432.1875,[2576 4099],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
2,16,20382.55859375,[2327 2348],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14 15 16]
2,16,141.484375,[3366 5619],[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16]
4,16,10051.550048828123,[1864 2012 3814 4633],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
2,16,220.65234375,[  32 2615],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
2,16,232.953125,[3231 5531],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
2,16,572.6708984375,[ 868 2531],[ 0  1  2  3  4  5  6  8  9 10 11 12 13 14 15 16]
2,16,317.7880859375,[4751 4816],[ 0  1  2  3  4  5  6  7  8  9 10 12 13 14 15 16]
2,16,527.7412109375,[2645 3162],[ 0  1  2  3  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,1148.296875,[1607 3518],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,8050.854736328125,[ 474 3711 4866 5020],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 15 16]
2,16,3520.6474609375,[1485 2577],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
2,16,2631.640625,[2075 4880],[ 0  1  2  3  4  5  6  7  8  9 10 11 13 14 15 16]
3,16,6928.780381944445,[ 166  342 3379],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 16]
2,16,176.18359375,[ 254 1159],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
2,16,184.7568359375,[3712 5755],[ 0  1  2  3  4  5  6  7  9 10 11 12 13 14 15 16]
2,16,216.5302734375,[1742 3501],[ 0  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,416.0771484375,[3423 5043],[ 0  1  2  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,531.0625,[2349 3295],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
8,16,14592.8271484375,[ 391 1677 1701 1761 2645 2779 3424 3501],[ 0  1  2  3  4  5  6  7  8  9 11 12 13 14 15 16]
2,16,1161.6162109375,[1653 5438],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,994.6083984375,[3054 3722],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14 15 16]
2,16,654.8583984375,[ 830 2167],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
2,16,3519.78125,[2121 2989],[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
2,16,785.96875,[ 392 2967],[ 0  1  2  3  4  5  6  7  8 10 11 12 13 14 15 16]
2,16,161.4912109375,[2947 3055],[ 0  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
4,16,10544.370361328123,[1882 2948 3079 5403],[ 0  1  2  3  4  5  6  7  8  9 10 11 12 14 15 16]
16,16,17613.01171875,"[ 411  849  868 2242 2779 2887 2927 2948 2967 3231 3774 4099 4206 5549
 5651 5695]",[ 0  1  2  3  4  6  7  8  9 10 11 12 13 14 15 16]
2,16,224.9375,[1563 3296],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16]
3,2,13.555555555555557,[2013 4160 4578],[ 1 11]
6,1,0.0,[3244 4125 4126 4128 4129 4160],[3]
4,2,21.5,[ 305 2013 4127 4128],[5 8]
5,3,9.75111111111111,[1978 1979 1980 2013 4128],[ 4  7 14]
3,2,25.722222222222218,[1654 3112 4100],[0 2]
4,3,87.7361111111111,[1654 2377 4100 4578],[ 8 12 14]
4,2,180.796875,[1579 1643 1644 5640],[ 1 11]
5,3,110.78222222222225,[1565 1566 1579 1643 1654],[10 13 15]
3,3,153.53086419753083,[2377 4100 5403],[ 3  9 13]
2,1,0.0,[4578 5708],[7]
1,2,0.0,[4566],[ 1 16]
3,2,7.722222222222221,[ 305 1512 4565],[11 14]
3,2,63.72222222222223,[ 305 1654 2013],[ 9 16]
2,2,5.0625,[1512 1654],[3 4]
2,2,0.5625,[4578 5640],[0 2]
2,2,1024.0,[2013 2227],[ 1 15]
