rows,columns,msr,row_coverage,column_coverage
3,2,13.555555555555555,[2013 4160 4578],[ 1 11]
6,1,0.0,[3244 4125 4126 4128 4129 4160],[3]
4,2,21.5,[ 305 2013 4127 4128],[5 8]
5,3,9.75111111111111,[1978 1979 1980 2013 4128],[ 4  7 14]
3,2,25.722222222222214,[1654 3112 4100],[0 2]
4,3,87.7361111111111,[1654 2377 4100 4578],[ 8 12 14]
4,2,180.796875,[1579 1643 1644 5640],[ 1 11]
5,3,110.78222222222225,[1565 1566 1579 1643 1654],[10 13 15]
3,3,153.53086419753083,[2377 4100 5403],[ 3  9 13]
2,1,0.0,[4578 5708],[7]
1,2,0.0,[4566],[ 1 16]
3,2,7.722222222222221,[ 305 1512 4565],[11 14]
3,2,63.72222222222223,[ 305 1654 2013],[ 9 16]
2,2,5.0625,[1512 1654],[3 4]
2,2,0.5625,[4578 5640],[0 2]
2,2,1024.0,[2013 2227],[ 1 15]
